±»»›¡ø/mAh/g,µÁ—π/V
21.4,0.1290
21.5,0.1288
21.6,0.1287
21.8,0.1285
21.9,0.1283
22.0,0.1282
22.2,0.1280
22.3,0.1279
22.5,0.1279
22.6,0.1277
22.8,0.1274
22.9,0.1274
23.0,0.1273
23.2,0.1270
23.3,0.1270
23.4,0.1268
23.6,0.1268
23.7,0.1266
23.9,0.1265
24.0,0.1265
24.1,0.1263
24.3,0.1263
24.4,0.1263
24.6,0.1262
24.7,0.1262
24.8,0.1263
25.0,0.1262
25.1,0.1262
25.2,0.1262
25.4,0.1262
25.5,0.1262
25.7,0.1262
25.8,0.1260
25.9,0.1260
26.1,0.1259
26.2,0.1259
26.4,0.1257
26.5,0.1257
26.6,0.1257
26.8,0.1257
26.9,0.1256
27.0,0.1256
27.2,0.1254
27.3,0.1254
27.5,0.1254
27.6,0.1254
27.7,0.1252
27.9,0.1251
28.0,0.1249
28.2,0.1248
28.3,0.1246
28.5,0.1245
28.6,0.1243
28.7,0.1242
28.9,0.1240
29.0,0.1239
29.1,0.1237
29.3,0.1234
29.4,0.1234
29.6,0.1232
29.7,0.1231
29.8,0.1229
30.0,0.1229
30.1,0.1226
30.3,0.1225
30.4,0.1223
30.5,0.1221
30.6,0.1218
30.8,0.1217
30.9,0.1217
31.1,0.1214
31.2,0.1212
31.4,0.1209
31.5,0.1208
31.7,0.1204
31.8,0.1203
31.9,0.1198
32.1,0.1197
32.2,0.1192
32.3,0.1190
32.5,0.1186
32.6,0.1183
32.7,0.1181
32.9,0.1178
33.0,0.1177
33.2,0.1173
33.3,0.1169
33.4,0.1167
33.6,0.1166
33.7,0.1161
33.9,0.1159
34.0,0.1153
34.1,0.1150
34.3,0.1149
34.4,0.1146
34.5,0.1146
34.7,0.1141
34.8,0.1138
35.0,0.1133
35.1,0.1130
35.2,0.1125
35.4,0.1124
35.5,0.1119
35.6,0.1116
35.8,0.1113
35.9,0.1111
36.1,0.1110
36.2,0.1111
36.3,0.1110
36.5,0.1105
36.7,0.1099
36.8,0.1096
36.9,0.1094
37.0,0.1090
37.2,0.1085
37.3,0.1080
37.5,0.1074
37.6,0.1068
37.7,0.1062
37.9,0.1056
38.1,0.1049
38.2,0.1045
38.3,0.1040
38.5,0.1032
38.6,0.1025
38.7,0.1022
38.8,0.1014
39.0,0.1015
39.1,0.1008
39.3,0.0997
39.4,0.0992
39.6,0.0986
39.7,0.0975
39.8,0.0966
40.0,0.0960
40.1,0.0953
40.3,0.0942
40.4,0.0933
40.5,0.0924
40.7,0.0913
40.8,0.0904
40.9,0.0891
41.1,0.0885
41.2,0.0880
41.3,0.0871
41.5,0.0862
41.7,0.0854
41.8,0.0853
41.9,0.0845
42.1,0.0832
42.2,0.0818
42.3,0.0805
42.5,0.0797
42.6,0.0789
42.7,0.0778
42.9,0.0775
43.0,0.0775
43.2,0.0769
43.3,0.0763
43.4,0.0749
43.6,0.0739
43.7,0.0729
43.9,0.0718
44.0,0.0710
44.1,0.0705
44.3,0.0698
44.4,0.0687
44.5,0.0679
44.7,0.0671
44.8,0.0671
45.0,0.0662
45.1,0.0653
45.3,0.0646
45.4,0.0639
45.5,0.0626
45.7,0.0612
45.8,0.0606
45.9,0.0606
46.1,0.0605
46.2,0.0595
46.4,0.0586
46.5,0.0578
46.6,0.0574
46.8,0.0569
46.9,0.0564
47.1,0.0560
47.2,0.0558
47.3,0.0558
47.5,0.0561
47.6,0.0560
47.7,0.0560
47.9,0.0564
48.0,0.0563
48.2,0.0569
48.3,0.0550
48.4,0.0538
48.6,0.0522
48.7,0.0512
48.9,0.0499
0.0,0.1625
0.2,0.2254
0.3,0.2567
0.4,0.2671
0.6,0.2742
0.7,0.2806
0.9,0.2846
1.0,0.2883
1.1,0.2914
1.3,0.2951
1.4,0.2978
1.6,0.3013
1.7,0.3041
1.8,0.3072
2.0,0.3106
2.1,0.3137
2.2,0.3168
2.4,0.3204
2.5,0.3238
2.7,0.3275
2.8,0.3313
2.9,0.3351
3.1,0.3392
3.2,0.3424
3.3,0.3466
3.5,0.3505
3.6,0.3554
3.8,0.3592
3.9,0.3633
4.0,0.3666
4.2,0.3703
4.3,0.3740
4.5,0.3776
4.6,0.3807
4.7,0.3833
4.9,0.3857
5.0,0.3874
5.1,0.3886
5.3,0.3895
5.4,0.3903
5.6,0.3911
5.7,0.3919
5.9,0.3926
6.0,0.3933
6.1,0.3943
6.3,0.3954
6.4,0.3965
6.5,0.3978
6.7,0.3990
6.8,0.4007
7.0,0.4023
7.1,0.4040
7.2,0.4057
7.4,0.4077
7.5,0.4097
7.7,0.4122
7.8,0.4147
7.9,0.4170
8.1,0.4195
8.2,0.4222
8.4,0.4260
8.5,0.4288
8.6,0.4319
8.8,0.4353
8.9,0.4388
9.0,0.4424
9.2,0.4464
9.3,0.4498
9.5,0.4537
9.6,0.4576
9.7,0.4610
9.9,0.4641
10.0,0.4672
10.2,0.4708
10.3,0.4739
10.5,0.4773
10.6,0.4796
10.7,0.4818
10.8,0.4841
11.0,0.4861
11.1,0.4884
11.3,0.4903
11.4,0.4920
11.5,0.4937
11.7,0.4954
11.8,0.4971
11.9,0.4980
12.1,0.4994
12.2,0.5008
12.4,0.5021
12.5,0.5035
12.7,0.5044
12.8,0.5055
12.9,0.5064
13.1,0.5073
13.2,0.5083
13.3,0.5092
13.5,0.5103
13.6,0.5112
13.8,0.5120
13.9,0.5131
14.1,0.5140
14.2,0.5149
14.3,0.5159
14.5,0.5168
14.6,0.5176
14.7,0.5184
14.9,0.5194
15.0,0.5204
15.1,0.5211
15.3,0.5222
15.4,0.5230
15.6,0.5239
15.7,0.5249
15.9,0.5259
16.0,0.5267
16.1,0.5278
16.3,0.5287
16.4,0.5295
16.6,0.5306
16.7,0.5317
16.8,0.5326
17.0,0.5335
17.1,0.5346
17.2,0.5354
17.4,0.5365
17.5,0.5374
17.7,0.5385
17.8,0.5397
17.9,0.5407
18.1,0.5418
18.2,0.5430
18.3,0.5439
18.5,0.5452
18.7,0.5464
18.8,0.5473
18.9,0.5486
19.0,0.5497
19.2,0.5509
19.4,0.5523
19.5,0.5532
19.6,0.5545
19.8,0.5557
19.9,0.5570
20.0,0.5582
20.2,0.5596
20.3,0.5608
20.4,0.5621
20.6,0.5635
20.7,0.5649
20.8,0.5663
21.0,0.5675
21.1,0.5690
21.3,0.5704
21.4,0.5720
21.5,0.5735
21.7,0.5751
21.8,0.5765
22.0,0.5782
22.1,0.5797
22.2,0.5813
22.4,0.5830
22.5,0.5845
22.6,0.5862
22.8,0.5883
22.9,0.5900
23.1,0.5923
23.2,0.5937
23.3,0.5955
23.5,0.5977
23.6,0.5994
23.8,0.6016
23.9,0.6039
24.0,0.6055
24.2,0.6079
24.3,0.6100
24.4,0.6124
24.6,0.6149
24.7,0.6172
24.9,0.6200
25.0,0.6224
25.1,0.6252
25.3,0.6283
25.4,0.6310
25.6,0.6341
25.7,0.6382
25.8,0.6411
26.0,0.6450
26.1,0.6487
26.3,0.6532
26.4,0.6558
26.5,0.6600
26.7,0.6638
26.8,0.6679
27.0,0.6726
27.1,0.6769
27.2,0.6822
27.4,0.6879
27.5,0.6926
27.6,0.6985
27.8,0.7047
27.9,0.7118
28.1,0.7183
28.2,0.7267
28.3,0.7341
28.5,0.7423
28.6,0.7504
28.8,0.7586
28.9,0.7681
29.0,0.7774
29.2,0.7854
29.3,0.7969
29.5,0.8071
29.6,0.8141
29.7,0.8233
29.9,0.8329
30.0,0.8426
30.1,0.8529
30.3,0.8645
30.4,0.8727
30.6,0.8836
30.7,0.8927
30.8,0.9040
31.0,0.9147
